dataResourceName,year,month,locality,decimalLatitude,decimalLongitude,stateProvince,scientificName
Geelong Field Naturalists Club,2020,6,"Peters Hill, Bambra",-38.39723,144.00772,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2024,1,Wombat State Forest,-37.49242,144.44003,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2021,9,Lerderderg State Park,-37.6034,144.41144,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2021,4,You Yangs,-37.93278,144.43194,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2021,12,"Grey River Road, Kennett River (-38.672, 143.851)",-38.67222,143.85199,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2024,9,Wombat State Forest,-37.46902,144.28617,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2022,10,"Steiglitz, Victoria",-37.893486,144.192052,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2021,8,"Fridays Track, Brisbane Ranges",-37.86565,144.19096,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2020,10,Werribee Gorge,-37.65856,144.33779,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2021,9,"Glenmore Road, Rowsley",-37.71956,144.36999,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2024,5,Wombat State Forest,-37.438966,144.262514,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2022,3,"Island Track, Brisbane Ranges National Park",-37.753706,144.274398,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2024,7,Wombat State Forest,-37.454979,144.482069,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2024,12,"Steiglitz Historic Park. Heard calling, late afternoon along walking track",-37.877357,144.174559,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2021,1,"Hordern Vale, Victoria",-38.78152,143.53771,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2020,6,Brisbane Ranges National Park,-37.76896,144.27689,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2020,6,Brisbane Ranges National Park,-37.7679,144.27215,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2020,12,Lake Elizabeth Forest,-38.55212,143.75752,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2020,3,Sayers Track near Beech Forest,-38.61583,143.629,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2022,1,Bamganie State Forest,-37.882387,144.008992,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2020,3,Wombat State Forest,-37.4573,144.44272,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,3,"Osborne Road,BULLARTO Osborne Road,BULLARTO",-37.37201,144.21973,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,11,"Chancellor Spur Track, GEMBROOK Chancellor Spur Track, GEMBROOK",-37.89669,145.69553,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,1,"Blakeville - Green Gully Track Green Gully Track, Blakeville",-37.45483,144.26138,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,3,"Centre about French Island VIC ( 6km) French Island, French Island, VIC, AU",-38.38066,145.27834,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,1,"298-510-0006 Toolangi State Forest, Horseyard Creek Track",-37.44489,145.53876,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,12,"Long-footed Potoroo camera surveys at Tulloch Ard_Site_LFP042 Betts Creek Tk, Snowy River NP",-37.34702,148.34568,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,6,155-000-0001 TUP101,-37.26995,144.26551,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,5,South of Goodwood Road Woodside North,-38.44293,146.85035,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,8,Camp Track (2) Mullungdung Mullungdung State Forest,-38.42991,146.87857,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,9,21A_A Gippsland Coastal Park,-38.07479,147.47626,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,3,"Unnamed, MOONDARRA Unnamed, MOONDARRA",-38.02788,146.39789,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,1,Plantation boundary track east of Jelleffs OTLT Jeeralang North,-38.33809,146.44267,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,7,Whiteheads Creek Whiteheads Creek near Abdallah Road,-37.02036,145.14652,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,2,"SWZ6_NORTH 100m S of Mullins Tk, 350m E of Pinchgut Rd, Wombat SF",-37.45264,144.07216,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,3,"Babbingtons Road, LYONVILLE Babbingtons Road, LYONVILLE",-37.36987,144.24602,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,11,mt bride area mt bride road,-37.78672,145.70708,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,11,"Bullarto South - Mt Wilson B Lerderderg Road and Wheeler Track, Bullarto South",-37.44946,144.26208,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,6,UpperSnowyQuollProject2021_Site_STQ204 UpperSnowyQuollProject2021_Site_STQ204,-37.06807,148.32462,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,10,115-118 French Island:Soft_jaw_leg_hold,-38.33545,145.29337,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,6,"737-505-0003_visit3_obs7 Mt Alfred Rd, Mt Alfred SF",-37.72599,147.48029,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,1,Falls Creek Rd - Tallarook SF Tallarook,-37.13964,145.18823,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,6,Rices Track Blackwarry,-38.41888,146.64296,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,10,MtClay37_NA Glenelg Ark Project data 2022,-38.20905,141.73755,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,4,"C2 N of Blacksands Rd, 2.5 SE of Gladysdale",-37.83522,145.69282,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,8,Mullungdung State Forest North of Pogues Road Mullungdung State Forest,-38.39855,146.83918,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,9,LT84 85 241/242 French Island:Soft_jaw_leg_hold,-38.31301,145.29438,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,11,Gilderoy Gilderoy,-37.8558,145.7186,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,1,"East Beenak Rd East Beenak Rd, Beenak SF",-37.89597,145.67073,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,4,"C2 N of Blacksands Rd, 2.5 SE of Gladysdale",-37.8339,145.68756,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,3,Old Yarragon Road Allambee South,-38.34151,146.09509,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,10,302-007-0001 Tallarook State Forest,-37.17389,145.19469,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,10,Annya04_NA Glenelg Ark Project data 2022,-37.98239,141.53206,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,4,Mullungdung State Forest Darriman,-38.42514,146.93596,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,7,unnamed track east of Massey Road Mullungdung State Forest,-38.44579,146.87943,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,10,LGNPN23_NA Glenelg Ark Project data 2022,-38.0393,141.19349,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,12,61. Lightning Ridge Tk 2 Strathbogie Forest,-36.89139,145.93833,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,1,"Bullarto South-Mount Wilson C Mount Wilson Track, Bullarto South",-37.43318,144.1931,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,1,"SWZ17 E of Sparagos Creek, 50m W of Cairns Rd, Wombat SF",-37.46319,144.18716,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,12,Hawkins Road (5) Seaspray,-38.28339,147.21514,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,12,"SWZ27_T1 100m E of Kangaroo Creek, 800m NW of Bullarto Resevoir",-37.37063,144.23568,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,3,WTQ17B Tulloch Ard,-37.30606,148.2903,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,5,"Drangsholt Track, LIMESTONE Drangsholt Track, LIMESTONE",-37.26762,145.58754,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,6,12A Gay St Lorne,-38.54325,143.97029,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,4,Toora Wonyip Road Toora North,-38.61755,146.36245,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,4,Unnamed track west of Yarram-Port Albert Road Port Albert,-38.65962,146.68182,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,9,54A_A Gippsland Coastal Park,-38.10298,147.47051,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,2,"484-501-0024 Amos Track, Tanjil Bren",-37.90366,146.22584,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,10,Trailcam 4 Burge Family Reserve 415 m SW of reserve entrance,-37.02652,145.64975,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,9,346-510-0005 FPSP SLCP Poweltown,-37.8312,145.69582,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,11,"SWZ23 SE of Loddon Rv, 200m W of Kelly Swamp Track, 400m E of Boundary Rd",-37.34915,144.25305,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,9,"254-000-0112 Pipeline Rd, Otway FP",-38.49181,143.41833,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,3,"Glenlyon - Little Hampton Road, WHEATSHEAF Glenlyon - Little Hampton Road, WHEATSHEAF",-37.34417,144.2707,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,4,Spring Road (2) Alberton West State Forest,-38.60687,146.51162,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,12,"Long-footed Potoroo camera surveys at Tulloch Ard_Site_WTQ18B Messmate Tk, Tulloch Ard SF",-37.30715,148.27004,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,2,About 3kms SSW of Hernes Oak,-38.22102,146.30726,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,3,Powelltown - Big Bertha Track - SFB Big Bertha Track,-37.85886,145.75434,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,10,Gormandale State Forest At intersection of Venturoni Track and unnamed track,-38.3135,146.72176,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,7,Tower Hill Tower Hill,-38.31881,142.36193,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,12,"Strickland Spur Track, MARYSVILLE Strickland Spur Track, MARYSVILLE",-37.57843,145.70187,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,2,"Barkstead-Simpsons Track Simpsons Track, Barkstead",-37.48693,144.08662,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,8,Horden Vale Camera Grid Intersection of Great Ocean Road and Lighthouse Road,-38.80639,143.52018,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,4,Wheildon Road Wonwron State Forest,-38.4835,146.75887,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,2,"Barkstead-Dean-Barkstead Road Dean-Barkstead Road, Barkstead",-37.43981,144.09135,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,12,"Blackwood-Wheeler Track Wheeler Track, Blackwood",-37.46236,144.26341,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,10,MtClay08_NA Glenelg Ark Project data 2022,-38.19674,141.64146,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,1,"SO 25 Parker Spur Rd, Cape Otway",-38.8134,143.5548,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,8,"Centre about Koallah VIC ( 2km) Koallah Pomborneit Road, Koallah, VIC, AU",-38.30507,143.25426,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,11,390 264 French Island:Soft_jaw_leg_hold,-38.32709,145.28372,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,3,"SWZ8_SOUTH E of Barkstead S Rd, 400m N of Brickhouse Rd, Wombat SF",-37.46575,144.08732,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,6,"Torbetts Road, GILDEROY Torbetts Road, GILDEROY",-37.8679,145.71134,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,2,Boolara Foster Road Gunyah,-38.5315,146.28803,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,10,Hotspur08_NA Glenelg Ark Project data 2022,-37.93183,141.51301,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,11,530 531 French Island:Soft_jaw_leg_hold,-38.33311,145.43045,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,3,Smiths Road (3) Driffield,-38.29993,146.28181,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,9,"Lima East Road, CREEK JUNCTION Lima East Road, CREEK JUNCTION",-36.88223,145.89508,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,2,"Potoroo Grid 4 In Carlisle, off Cricket Pitch Rd, near turnoff to Rifle Range Trak",-38.54308,143.47901,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,11,"Bullarto South - Lynch Track A Lerderderg Road, Bullarto South",-37.44074,144.21155,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,10,Annya26_NA Glenelg Ark Project data 2022,-38.00952,141.58379,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,6,Teddy's Lookout; Lorne,-38.55382,143.9799,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,4,Canty Road (east of) Wonwron Plantation,-38.397,146.78049,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,6,"Wheatsheaf - Loddon River Road Loddon River Road, Wheatsheaf",-37.34098,144.26018,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,12,172-518-0107 Crofts Tk - Warrenmang,-37.07769,143.25562,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,12,172-518-0107 Crofts Tk - Warrenmang,-37.0749,143.25249,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,11,West Barwon Catchment Camera Grid ~5km south of Forrest. Near West Barwon Reservoir,-38.55454,143.72115,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,12,"SWZ15 150m E of Wombat Creek Rd, 800m N of Leonards Hill-South Bullarto Rd",-37.41219,144.1939,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,9,462-501-0006 Domhnall,-37.85996,146.02373,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,3,"Unnamed, BULLARTO Unnamed, BULLARTO",-37.37042,144.22681,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,12,Hawkins Road (3) Seaspray,-38.27732,147.19053,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,2,"Leonards Hill - Specimen Hill Road Specimen Hill Road, Leonards Hill",-37.4181,144.16489,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,9,"254-000-0049 Pipeline Rd, Otway FP",-38.47386,143.44217,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,10,LGNP Sth S (10)_NA Glenelg Ark Project data 2022,-38.04098,141.11707,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,3,Hatchery Road Livingstone Plantation,-38.4982,146.32943,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,5,Wallaby Track Gunyah,-38.51334,146.32919,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,10,441 162 French Island:Soft_jaw_leg_hold,-38.31207,145.42314,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,11,Track west of Bulls Creek Swamp (2) Holey Plains,-38.19976,146.98947,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,6,"Lerderderg - Hayden Track Hayden Track, Lerderderg",-37.46642,144.34115,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,3,"Ellis Track, WESBURN Ellis Track, WESBURN",-37.81151,145.67996,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,1,Jelleffs OTLT Jeeralang North,-38.33708,146.44279,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,11,"Blackwood-Ottie Track B Ottie Track, Wombat State Forest",-37.46698,144.27251,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,12,"445-501-0003 Alberton West SF, Ryans Rd",-38.59787,146.50133,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,3,"Unnamed, BULLARTO Unnamed, BULLARTO",-37.37434,144.2252,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,2,Sheoak Creek DS of Picnic Area About 3kms W of Lorne,-38.5566,143.94836,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,9,"309-507-0008 Marysville State Forest, Acheron Way",-37.58257,145.68993,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,3,SA Grid 2 South of Boggy Creek Trak,-38.56708,143.48071,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,10,Hotspur05_NA Glenelg Ark Project data 2022,-37.93063,141.4666,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,11,Leonards Hill - Stewarts Creek Rd Unnamed Track off Leonards Hill-South Bullarto Rd,-37.42545,144.17699,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,5,Rodgers Road Gunyah,-38.51018,146.31372,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,11,002/133 French Island:Soft_jaw_leg_hold,-38.35849,145.32298,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,12,Tolmie Stockyard Creek Tolmie Stockyard Creek,-36.95386,146.28518,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,8,Sn-444 French Island: Soft-net Trap,-38.37116,145.37109,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,2,"Mccarthy Spur Road, NOOJEE Mccarthy Spur Road, NOOJEE",-37.88608,145.98763,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,10,Annya02_NA Glenelg Ark Project data 2022,-37.98235,141.51572,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,9,346-510-0005 FPSP SLCP Poweltown,-37.82902,145.69368,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,4,Turtons Creek Road Turtons Creek,-38.5619,146.23523,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,12,Unnamed NARBETHONG Unnamed NARBETHONG,-37.59647,145.68365,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,12,"SWZ27_T5 200m E of Osborne Rd, 500m W of Quartz Track, 1.6km SW of Bullarto Resevoir",-37.38754,144.22045,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,3,"Lardner's Track, Otway National Park Lardner's Track, east of junction between Lardner's and Sayers Tracks Otway Nationa",-38.6188,143.62788,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,1,Unnamed track near Glendonald Road Hazelwood South,-38.33452,146.44831,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,9,"Unnamed, CARINGAL Unnamed, CARINGAL",-37.94524,146.37466,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,2,Duncans Road Callignee South,-38.36137,146.6222,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,1,Vinces Track Mirboo North,-38.36341,146.16708,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,5,WTQ5A Tulloch Ard,-37.27575,148.30312,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,1,"MTC08SM4 Ditchfield Road, Mt Cole",-37.33008,143.27838,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,5,Boundary Road (south of) Mullungdung State Forest,-38.46519,146.89162,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,11,278 432 French Island:Soft_jaw_leg_hold,-38.31357,145.436,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,,Withheld,-37.3924,144.2674,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,3,"Quarry Creek Road, Marthavale Victoria 3875, Australia Quarry Creek Road, Marthavale Victoria 3875, Australia",-37.44594,147.5269,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,12,172-518-0107 Crofts Tk - Warrenmang,-37.0749,143.25249,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,2,Woodside - SFB- Boundary Road Boundary Road,-38.45906,146.89382,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,6,"Stoney Creek Road, MERRIJIG (BAIRNSDALE) Stoney Creek Road, MERRIJIG (BAIRNSDALE)",-37.65338,147.45221,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,10,300-395 French Island:Soft_jaw_leg_hold,-38.36259,145.31097,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,1,Joes Track Mirboo North,-38.36779,146.1638,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,6,"Torbetts Road, GILDEROY Torbetts Road, GILDEROY",-37.8679,145.71134,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,2,She-oak Picnic Ground,-38.55382,143.94433,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,3,"Centre about Tower Hill VIC ( 2km) Tower Hill VIC 3283, Australia",-38.31444,142.36597,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,12,Signboard Lane Dutson,-38.24594,147.26898,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,9,225/226 French Island:Cage,-38.34936,145.36848,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,11,530 531 French Island:Soft_jaw_leg_hold,-38.33317,145.43033,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,5,WTCat016 Tulloch Ard,-37.31806,148.27339,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,9,Lg04 French Island:Soft_jaw_leg_hold,-38.36688,145.43921,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,8,126/ 209 French Island:Soft_jaw_leg_hold,-38.32996,145.30369,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2020,1,"445-501-0001 Willis Rd, Binginwarri",-38.60378,146.50995,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,10,"239-000-0122 Black Bridge Rd, Otway FP",-38.45977,143.48188,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,7,"Leonards-Hill - Wombat Creek Dam Wombat Creek Dam, Leonards Hill",-37.39506,144.18024,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2021,5,"Moranghurk, Sheoaks Sheoaks northeast of Lethbridge",-37.9007,144.12263,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,1,"MTC07SM4 Off Long Gully Road, Mt Cole",-37.29108,143.25645,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,11,"Bullarto South - Mt Wilson B Lerderderg Road and Wheeler Track, Bullarto South",-37.44962,144.2624,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2023,1,"Leonards Hill - Stewarts Creek Rd Maher Track, Leonards Hill",-37.43032,144.17528,Victoria,Phascolarctos cinereus
Victorian Biodiversity Atlas,2022,1,"MTC10SM4 Off Mount Cole Road to the east, Mt Cole",-37.30084,143.25948,Victoria,Phascolarctos cinereus
